"Rank","Name","Symbol","marketcap","price (USD)","country"
"238","Osisko Mining","OSK.TO","688352883","1.83","Canada"
"239","Li-Cycle","LICY","687496832","3.86","Canada"
"240","SilverCrest Metals","SILV","677551424","4.58","Canada"
"241","Obsidian Energy","OBE","676126016","8.42","Canada"
"242","New Gold","NGD","658329472","0.9602","Canada"
"243","Softchoice","SFTC.TO","651881595","11.27","Canada"
"244","Absolute Software","ABST","610809536","11.49","Canada"
"245","North American Construction Group","NOA","608853888","22.77","Canada"
"246","TerrAscend","TRSSF","601910592","1.72","Canada"
"247","Mercer International","MERC","562800640","8.46","Canada"
"248","Teekay","TK","554645632","6.07","Canada"
"249","Artis REIT","AX-UN.TO","546729600","5.04","Canada"
"250","Sundial Growers","SNDL","541840000","2.08","Canada"
"251","Repare Therapeutics","RPTX","534598880","12.7","Canada"
"252","Standard Lithium","SLI","513839424","2.9","Canada"
"253","Fission Uranium","FCU.TO","501696365","0.69","Canada"
"254","enCore Energy","EU","489938560","3.41","Canada"
"255","Endeavour Silver","EXK","476847424","2.49","Canada"
"256","Lion Electric","LEV","437846368","1.92","Canada"
"257","ECN Capital","ECN.TO","436392691","1.78","Canada"
"258","Zymeworks","ZYME","432734368","6.38","Canada"
"259","Skeena Resources","SKE","428612416","4.85","Canada"
"260","Silvercorp Metals","SVM","427894720","2.42","Canada"
"261","Converge Technology Solutions","CTS.TO","426007002","2.08","Canada"
"262","Hut 8 Mining","HUT","425648640","1.92","Canada"
"263","IsoEnergy","ISO.V","408807019","3.68","Canada"
"264","SunOpta","STKL","408777536","3.53","Canada"
"265","PolyMet","PLM","406421376","2.09","Canada"
"266","Taseko Mines","TGB","375228064","1.3","Canada"
"267","New Pacific Metals","NEWP","349883072","2.22","Canada"
"268","Pizza Pizza","PZA.TO","332777983","10.29","Canada"
"269","TMC the metals company","TMC","327829824","1.07","Canada"
"270","Uranium Royalty","UROY","314629344","3.11","Canada"
"271","McEwen Mining","MUX","303834240","6.4","Canada"
"272","Corby Spirit and Wine","CSW-A.TO","299571159","10.68","Canada"
"273","Bitfarms","BITF","292387200","1.06","Canada"
"274","The Real Brokerage","REAX","286200000","1.59","Canada"
"275","Aurora Cannabis","ACB","279876096","0.7427","Canada"
"276","Arizona Metals","AMC.TO","258405291","2.23","Canada"
"277","HIVE Blockchain Technologies","HIVE","257341200","3","Canada"
"278","Western Copper and Gold","WRN","231967408","1.4","Canada"
"279","Vizsla Silver","VZLA","224688240","1.07","Canada"
"280","Tidewater Renewables","LCFS.TO","223508317","6.44","Canada"
"281","Gran Tierra Energy","GTE","219667776","6.59","Canada"
"282","Osisko Development","ODV","214955520","2.56","Canada"
"283","Kingsway Financial Services","KFS","214094128","7.93","Canada"
"284","Tucows","TCX","210955584","19.42","Canada"
"285","Profound Medical","PROF","210479936","9.9","Canada"
"286","VersaBank","VBNK","204025024","7.87","Canada"
"287","EMX Royalty","EMX","202676160","1.83","Canada"
"288","Marathon Gold","MOZ.TO","196515168","0.49","Canada"
"289","Gold Royalty Corp","GROY","195709504","1.35","Canada"
"290","Largo","LGO","187026000","2.92","Canada"
"291","ReconAfrica","0XD.F","182720392","0.84","Canada"
"292","Northern Dynasty Minerals","NAK","176787248","0.3337","Canada"
"293","Loop Industries","LOOP","173927600","3.66","Canada"
"294","Velan","VLN.TO","172467619","7.99","Canada"
"295","City Office REIT","CIO","168939856","4.23","Canada"
"296","Fusion Pharmaceuticals","FUSN","165594240","2.4","Canada"
"297","Metalla Royalty & Streaming","MTA","165077328","3.12","Canada"
"298","Alithya Group","ALYA","163708400","1.71","Canada"
"299","Oncolytics Biotech","ONCY","156275552","2.13","Canada"
"300","High Tide","HITI","155504320","2.055","Canada"
"301","Galiano Gold","GAU","148462384","0.66","Canada"
"302","Cybin","CYBN","147944176","0.6304","Canada"
"303","Nouveau Monde Graphite","NMG","146768400","2.4","Canada"
"304","GoldMining Inc.","GLDG","140696864","0.8051","Canada"
"305","D-Wave Quantum","QBTS","140667600","0.9671","Canada"
"306","Andrew Peller","ADW-A.TO","137718287","3.09","Canada"
"307","POET Technologies","POET","133530240","3.29","Canada"
"308","Sylogist","SYZ.TO","129212861","5.47","Canada"
"309","Sangoma Technologies","SANG","128379504","3.87","Canada"
"310","Zentek","ZTEK","126236248","1.25","Canada"
"311","ESSA Pharma","EPIX","125356520","2.8425","Canada"
"312","Platinum Group Metals","PLG","120797776","1.18","Canada"
"313","OrganiGram Holdings","OGI","119138080","1.48","Canada"
"314","Laramide Resources","LAM.TO","113575640","0.5","Canada"
"315","Westport Fuel Systems","WPRT","109748248","6.39","Canada"
"316","Tanzanian Gold Corporation","TRX","109684704","0.3801","Canada"
"317","Vox Royalty","VOXR","104268600","2.11","Canada"
"318","Forsys Metals","FSY.TO","103959222","0.53","Canada"
"319","Meta Materials","MMAT","100414016","0.21","Canada"
"320","Milestone Pharmaceuticals","MIST","100148400","3","Canada"
"321","Village Farms International","VFF","99534792","0.9029","Canada"
"322","Bragg Gaming Group","BRAG","97406184","4.3","Canada"
"323","Mega Uranium","MGA.TO","96235088","0.27","Canada"
"324","Achieve Life Sciences","ACHV","94765040","4.49","Canada"
"325","PyroGenesis Canada","PYR","84538688","0.4726","Canada"
"326","illumin","ILLM","84095608","1.63","Canada"
"327","GreenPower Motor Company","GP","79335592","3.18","Canada"
"328","Americas Gold and Silver Corp","USAS","77283008","0.357","Canada"
"329","Electra Meccanica","SOLO","76055720","0.6371","Canada"
"330","Trilogy Metals","TMQ","74668320","0.48","Canada"
"331","Avino Silver &amp; Gold Mines","ASM","69869872","0.566","Canada"
"332","Integra Resources","ITRG","60524204","0.88","Canada"
"333","A2Z Smart Technologies","AZ","58776308","1.55","Canada"
"334","Xebec Adsorption","XBC.TO","58696946","0.38","Canada"
"335","Theratechnologies","THTX","50980400","2.088","Canada"
"336","Fury Gold Mines","FURY","50853980","0.349399","Canada"
"337","Sierra Metals","SMT.TO","46683066","0.28","Canada"
